Timestamp,Age,Gender,How often do you visit hotpot restaurants?,Which hotpot restaurant did you visit most recently?,Were you a new or returning customer?,Where did you first hear of this restaurant?,What were the main reasons for choosing this restaurant? (Select all that apply) ,Was it easy to find information about the restaurant?,How did you make your reservation?,"How satisfied were you with the reservation process? 
(5 stars - very satisfied, 1 star - very dissatisfied) If you did walk-in, you may leave this question blank.",How long did you wait to be seated?,"How would you rate the quality of customer service? 
 (1 star - Very poor, 5 stars - Excellent)","How would you describe the restaurant’s ambience?   
( 1 heart - Very poor, 5 hearts - Excellent)",How satisfied were you with the cleanliness and hygiene of the restaurant?,"How would you rate the quality and freshness of the hotpot ingredients?
",Was there a good variety of soup bases and sauces?,"How would you rate the value for money?
(1 star = Very poor value, 5 stars = Excellent value)  ",Did you notice or use any loyalty programs?,"What aspects of the loyalty program did you find most appealing? (e.g., discounts, free items, points accumulation, etc. If unable to answer, please specify ""NA"").",How likely are you to return to this restaurant? ,What did you like most about this hotpot experience?,"Did you experience any issues during your visit? (Leave ""NA"" if no issues)",What improvements would you like to see in the restaurant that would make you return?,What three words would you use to describe this restaurant brand?  , How would you rate the brand's reputation compared to other hotpot restaurants?  ,"How likely are you to recommend this restaurant to others?
(1 star = Not at all likely, 5 stars = Extremely likely)","Do you feel the brand delivers on its promises? (e.g., quality, service, atmosphere)","In your opinion, what makes this restaurant unique? (Leave ""NA"" if you don't find it unique)"
2024/11/05 1:29:25 PM GMT+8,18 - 24,Female,First time,Beauty in the Pot,New customer,Walked By,Ambience;Convenient location;Quality of food,Somewhat easy,Walk-in (no reservation),,More than 30 minutes,3,3,3,4,"Yes, but could be better",2,I'm not sure of the options available,NA,2,"I really enjoyed the freshness and quality of the ingredients. Each item was flavorful and perfectly prepared. The variety of options available was impressive, allowing me to customize my meal to my liking. The ambiance of the restaurant was also inviting, making it a great place to enjoy a meal with friends. Additionally, the service was attentive and friendly, which enhanced the overall dining experience.",NA,Food variety;Service quality;Cleanliness;Special promotions,Elegant and somewhat traditional,About the same,2,Agree,"I guess their items on the menu?  For example their nourishing and herbal soups.  , "
2024/11/05 1:55:51 PM GMT+8,18 - 24,Female,Every few months,Shabu Sai,Returning customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Convenient location;Quality of food;Price;Recommendation / Word of mouth;Restaurant promotions or discounts,Very easy,Walk-in (no reservation),,Less than 5 minutes,4,4,5,4,"Yes, but could be better",5,I'm not sure of the options available,NA,5,"It was great value for money, the various food options were enjoyable and the ambience was quite cozy for a gathering.",NA,Special promotions,"customer-centric, reliable",Slightly better,5,Strongly agree,"Great value for money, not too expensive and for great quality food"
2024/11/05 2:12:42 PM GMT+8,18 - 24,Female,Rarely,HaiDiLao,New customer,Social media;Walked By,Ambience;Convenient location;Social media/online reviews;Previous positive experience (staff service),Somewhat easy,Walk-in (no reservation),,15 - 30 minutes,5,5,5,5,"Yes, plenty of options",4,"Yes, but didn't use them",NA,4,"I liked the customer service at HDL. HDL invited a busker, jeff sing there and it was a great experience.",NA,Ambience;Service quality;Cleanliness;Special promotions,"eventful, red, fun",Slightly better,4,Agree,HDL’s collaboration with companies such as the sing along session there
2024/11/05 4:49:45 PM GMT+8,18 - 24,Female,Monthly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth;Previous positive experience (staff service),Very easy,Phone,4,5 - 15 minutes,4,4,5,4,"Yes, plenty of options",3,"Yes, but didn't use them",points accumulation,5,Customer service and entertainment ,NA,Food variety,"Engaging, delicious and fun ",Slightly better,5,Strongly agree,Customer engagement and entertainment 
2024/11/05 5:25:52 PM GMT+8,45 and above,Male,Rarely,Shi Li Fang,New customer,"Word of mouth (friends, family, colleagues etc.)",Restaurant promotions or discounts,Somewhat easy,Walk-in (no reservation),3,5 - 15 minutes,3,2,3,4,"Yes, but could be better",4,I'm not sure of the options available,NA,1,Low price,NA,Service quality,Minimum standard,About the same,1,Neutral,NA
2024/11/05 5:29:40 PM GMT+8,18 - 24,Female,Monthly,Beauty in the Pot,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Quality of food;Price,Very easy,Online through the restaurant's website,5,15 - 30 minutes,5,4,5,5,"Yes, plenty of options",5,"Yes, I used them",Points accumulation which can used to redeem a dish ,5,The taste of the food. The soup base is very good.,Na,NA,Delicious cheap plentiful ,Slightly better,5,Agree,The food 
2024/11/05 5:30:14 PM GMT+8,35 - 44,Female,Monthly,Beauty in the Pot,Returning customer,Walked By,Ambience;Quality of food,Very easy,Walk-in (no reservation),4,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",4,I'm not sure of the options available,NA,5,Overall,NA,Food variety,"Modern, family orientated",About the same,4,Agree,NA
2024/11/05 5:30:19 PM GMT+8,18 - 24,Female,Monthly,Sukiya,Returning customer,Flyers or printed ads;Walked By,Convenient location;Restaurant promotions or discounts;amount of food,Somewhat easy,Walk-in (no reservation),,5 - 15 minutes,4,3,3,3,"Yes, but could be better",4,"Yes, I used them",free items ,4,a lot of other dishes served along with the hotpot,na,Ambience;Food variety;Special promotions,"generous, variety, tasty ",About the same,2,Neutral,na
2024/11/05 5:32:29 PM GMT+8,18 - 24,Male,Monthly,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Convenient location;Restaurant promotions or discounts;Previous positive experience (staff service);Service,Very easy,Phone,5,5 - 15 minutes,5,4,5,4,"Yes, plenty of options",4,"Yes, I used them","vouchers, but best case would always be free items",5,the company,NA,Service quality;Cleanliness;Special promotions,"convenient, birthdays, great service",Much better,5,Agree,"High quality service, I frequent hotpot but HDL service is always much more enjoyable"
2024/11/05 5:34:24 PM GMT+8,45 and above,Male,Weekly,Beauty in the Pot,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Quality of food,Very easy,Third-party booking platform,3,Less than 5 minutes,3,4,4,4,"Yes, plenty of options",2,I'm not sure of the options available,Na,4,The spread of varitey n esp no MSG in the soup,Na,Ambience;Service quality;Special promotions,Will go back,Slightly better,5,Strongly agree,Soup base specialty 
